,CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,YEAR
1692999,09/09/2013,16:38,BROOKLYN,11213,40.6790346,-73.9385077,"(40.6790346, -73.9385077)",HERKIMER STREET                 ,43,0.0,0,0,0,0,43,0,Unspecified,Unspecified,183929,PASSENGER VEHICLE,BUS,2013
2008609,04/07/2023,22:24,QUEENS,11361.0,40.75958,-73.76894,"(40.75958, -73.76894)",BELL BOULEVARD,34,0.0,0,0,0,0,34,0,Traffic Control Disregarded,Unspecified,4619206,Bus,Box Truck,2023
1364191,04/17/2015,11:43,QUEENS,11427.0,40.7241585,-73.7549679,"(40.7241585, -73.7549679)",HILLSIDE AVENUE                 ,32,0.0,2,0,0,0,30,0,Physical Disability,Unspecified,3204269,SMALL COM VEH(4 TIRES) ,BUS,2015
2055983,12/28/2023,17:50,STATEN ISLAND,10306.0,40.57341,-74.126816,"(40.57341, -74.126816)",BISHOP STREET,25,0.0,0,0,0,0,25,0,Aggressive Driving/Road Rage,Unspecified,4691158,Box Truck,Sedan,2023
1411736,01/07/2015,15:58,BROOKLYN,11203,40.6444315,-73.9295994,"(40.6444315, -73.9295994)",UTICA AVENUE                    ,24,0.0,0,0,0,0,24,0,Traffic Control Disregarded,Failure to Yield Right-of-Way,3148869,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,2015
1719068,07/22/2013,18:09,BROOKLYN,11221.0,40.6920346,-73.9456428,"(40.6920346, -73.9456428)",DEKALB AVENUE                   ,24,0.0,0,0,0,0,24,0,Unspecified,Unspecified,181455,LARGE COM VEH(6 OR MORE TIRES),BUS,2013
2004582,03/17/2023,21:22,QUEENS,11428.0,40.71893,-73.73439,"(40.71893, -73.73439)",220 STREET,23,0.0,0,0,0,0,23,0,Driver Inattention/Distraction,Unspecified,4616707,Station Wagon/Sport Utility Vehicle,Bus,2023
1392446,02/04/2015,8:10,STATEN ISLAND,10301,40.6407689,-74.0947511,"(40.6407689, -74.0947511)",HENDERSON AVENUE                ,22,0.0,0,0,0,0,22,0,Unspecified,Unspecified,3164171,BUS,BUS,2015
684670,04/06/2018,7:30,BROOKLYN,11225.0,40.659405,-73.9505,"(40.659405, -73.9505)",NOSTRAND AVENUE                 ,22,0.0,0,0,1,0,21,0,Driver Inattention/Distraction,Unspecified,3876246,Sedan,Bus,2018
1330609,06/08/2015,13:00,QUEENS,11101.0,40.7530285,-73.9216199,"(40.7530285, -73.9216199)",NORTHERN BOULEVARD              ,22,0.0,0,0,0,0,22,0,Fatigued/Drowsy,Unspecified,3237061,SPORT UTILITY / STATION WAGON,BUS,2015
860929,06/21/2017,17:28,BRONX,10473.0,40.8213,-73.88033,"(40.8213, -73.88033)",STORY AVENUE                    ,19,0.0,0,0,0,0,19,0,Driver Inattention/Distraction,Backing Unsafely,3701516,Bus,Flat Bed,2017
1275741,08/13/2015,12:30,BROOKLYN,11208.0,40.6850638,-73.8811327,"(40.6850638, -73.8811327)",ETNA STREET                     ,19,0.0,0,0,0,0,19,0,Unspecified,Unspecified,3278035,SPORT UTILITY / STATION WAGON,BUS,2015
2044817,07/06/2023,19:15,MANHATTAN,10010.0,40.736885,-73.978546,"(40.736885, -73.978546)",EAST 23 STREET,18,0.0,0,0,0,0,18,0,Traffic Control Disregarded,Unspecified,4643358,Bus,Bus,2023
407162,06/10/2019,10:00,QUEENS,11434.0,40.675312,-73.777145,"(40.675312, -73.777145)",BREWER BOULEVARD                ,18,0.0,0,0,0,0,18,0,Unsafe Lane Changing,Unspecified,4149518,Station Wagon/Sport Utility Vehicle,Bus,2019
1603102,02/04/2014,17:15,BROOKLYN,11207,40.665035,-73.8921335,"(40.665035, -73.8921335)",VERMONT STREET                  ,18,0.0,0,0,0,0,18,0,Unspecified,Unspecified,170324,PASSENGER VEHICLE,PASSENGER VEHICLE,2014
857897,06/14/2017,9:35,BRONX,10463.0,40.870346,-73.9044,"(40.870346, -73.9044)",WEST KINGSBRIDGE ROAD           ,18,0.0,0,0,0,0,18,0,Brakes Defective,Unspecified,3692079,Bus,Bus,2017
10197,09/04/2021,14:45,STATEN ISLAND,10304.0,40.62551,-74.07599,"(40.62551, -74.07599)",BROAD STREET,18,0.0,0,0,0,0,18,0,Driver Inexperience,Unspecified,4459119,Sedan,School Bus,2021
1545143,05/20/2014,16:50,BRONX,10461,40.8510798,-73.8486114,"(40.8510798, -73.8486114)",MORRIS PARK AVENUE              ,17,0.0,0,0,0,0,17,0,Unspecified,Unspecified,338257,BUS,PASSENGER VEHICLE,2014
663438,04/30/2018,9:09,BRONX,10461.0,40.84956,-73.83401,"(40.84956, -73.83401)",SAINT THERESA AVENUE            ,17,0.0,0,0,0,0,17,0,Fell Asleep,Unspecified,3892063,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,2018
1934010,07/11/2023,7:55,BRONX,10457.0,40.846657,-73.89619,"(40.846657, -73.89619)",EAST TREMONT AVENUE,17,0.0,0,0,0,0,17,0,Failure to Yield Right-of-Way,Unspecified,4644894,Ambulance,Bus,2023
1535848,06/28/2014,18:30,QUEENS,11103,40.7589746,-73.9189996,"(40.7589746, -73.9189996)",STEINWAY STREET                 ,16,0.0,15,0,0,0,1,0,Unspecified,Unspecified,359450,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,2014
999726,11/21/2016,11:55,QUEENS,11435.0,40.694378,-73.803764,"(40.694378, -73.803764)",WALTHAM STREET                  ,16,0.0,0,0,0,0,16,0,Failure to Yield Right-of-Way,Unspecified,3565243,Bus,Flat Bed,2016
1600045,02/18/2014,8:40,QUEENS,11433,40.6914231,-73.7874917,"(40.6914231, -73.7874917)",BREWER BOULEVARD                ,16,0.0,0,0,0,0,16,0,Pavement Slippery,Unspecified,272361,BUS,BUS,2014
758723,11/15/2017,9:00,QUEENS,11434.0,40.66696,-73.77078,"(40.66696, -73.77078)",SOUTH CONDUIT AVENUE            ,16,0.0,0,0,0,0,16,0,Driver Inattention/Distraction,Unspecified,3790357,Station Wagon/Sport Utility Vehicle,Sedan,2017
1929501,07/26/2023,10:50,BRONX,10452,40.84275,-73.92283,"(40.84275, -73.92283)",GRANT HIGHWAY,15,0.0,0,0,0,0,15,0,Turning Improperly,Unspecified,4648919,Bus,Station Wagon/Sport Utility Vehicle,2023
234354,08/13/2020,18:08,BROOKLYN,11236.0,40.63226,-73.90088,"(40.63226, -73.90088)",EAST 87 STREET                  ,15,0.0,0,0,0,0,15,0,Unsafe Speed,Unspecified,4340204,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,2020
956624,01/09/2017,23:20,BROOKLYN,11226.0,40.65505,-73.95631,"(40.65505, -73.95631)",BEDFORD AVENUE                  ,15,0.0,0,0,0,0,15,0,Passing or Lane Usage Improper,Unspecified,3598566,Bus,Station Wagon/Sport Utility Vehicle,2017
1494545,08/05/2014,15:26,MANHATTAN,10036,40.7591997,-73.9846193,"(40.7591997, -73.9846193)",WEST 47 STREET                  ,15,0.0,13,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,1004348,BUS,BUS,2014
818509,09/18/2017,6:17,QUEENS,11354.0,40.762978,-73.83198,"(40.762978, -73.83198)",NORTHERN BOULEVARD              ,15,4.0,3,2,0,0,12,2,Unsafe Speed,Unspecified,3752786,Bus,Bus,2017
2083267,04/14/2024,14:51,BROOKLYN,11201.0,40.689228,-73.9847,"(40.689228, -73.9847)",LIVINGSTON STREET,15,0.0,0,0,0,0,15,0,Traffic Control Disregarded,Unspecified,4718301,Van,Bus,2024
2097607,06/18/2024,15:30,QUEENS,11362.0,0.0,0.0,"(0.0, 0.0)",WEST ALLEY ROAD,15,0.0,0,0,0,0,15,0,Driver Inattention/Distraction,Unspecified,4733860,Bus,Station Wagon/Sport Utility Vehicle,2024
1448932,10/29/2014,17:00,BROOKLYN,11221,40.6863458,-73.9233966,"(40.6863458, -73.9233966)",JEFFERSON AVENUE                ,15,0.0,0,0,0,0,15,0,Unspecified,Unspecified,2815799,BUS,PASSENGER VEHICLE,2014
133945,05/28/2022,22:30,BROOKLYN,11203.0,40.653984,-73.927704,"(40.653984, -73.927704)",LINDEN BOULEVARD,15,0.0,0,0,0,0,15,0,Unspecified,Unspecified,4532429,Bus,Station Wagon/Sport Utility Vehicle,2022
2031072,05/28/2023,20:27,BROOKLYN,11208.0,40.667507,-73.88007,"(40.667507, -73.88007)",ESSEX STREET,15,1.0,0,0,0,0,15,1,Unsafe Speed,Other Vehicular,4633379,Sedan,Station Wagon/Sport Utility Vehicle,2023
1746477,05/31/2013,14:40,BRONX,10467,40.8757308,-73.8795588,"(40.8757308, -73.8795588)",EAST 207 STREET                 ,14,0.0,0,0,0,0,14,0,Unspecified,Unspecified,111567,PASSENGER VEHICLE,PASSENGER VEHICLE,2013
414959,06/07/2019,12:55,BROOKLYN,11207.0,40.66292,-73.890625,"(40.66292, -73.890625)",NEW LOTS AVENUE                 ,14,0.0,0,0,0,0,14,0,Driver Inexperience,Unspecified,4148704,Bus,Station Wagon/Sport Utility Vehicle,2019
119717,07/12/2022,22:16,BRONX,10474.0,40.81295,-73.88418,"(40.81295, -73.88418)",HUNTS POINT AVENUE,14,0.0,0,0,0,0,14,0,Obstruction/Debris,Unspecified,4547871,Box Truck,Bus,2022
841551,07/19/2017,8:11,BRONX,10459.0,40.8251,-73.890564,"(40.8251, -73.890564)",EAST 165 STREET                 ,14,0.0,0,0,0,0,14,0,Unspecified,Unspecified,3715117,Bus,Bus,2017
67052,07/29/2021,11:05,BRONX,10467.0,40.887444,-73.878006,"(40.887444, -73.878006)",JEROME AVENUE,14,0.0,0,0,0,0,14,0,Unsafe Lane Changing,Unspecified,4442152,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,2021
2021638,05/06/2023,19:38,QUEENS,11691.0,40.596104,-73.760414,"(40.596104, -73.760414)",BEACH 27 STREET,13,0.0,0,0,0,0,13,0,Fell Asleep,Unspecified,4627900,Box Truck,Bus,2023
888112,05/11/2017,6:30,BROOKLYN,11203.0,40.641537,-73.93899,"(40.641537, -73.93899)",AVENUE D                        ,13,0.0,0,0,0,0,13,0,Failure to Yield Right-of-Way,Unspecified,3667661,Garbage or Refuse,Bus,2017
2054733,12/15/2023,8:30,BROOKLYN,11212.0,40.65474,-73.90693,"(40.65474, -73.90693)",ROCKAWAY AVENUE,13,0.0,0,0,0,0,13,0,Unsafe Lane Changing,Unspecified,4689967,Bus,Sedan,2023
1630078,12/13/2013,14:30,BRONX,10460,40.84013,-73.8802991,"(40.84013, -73.8802991)",BOSTON ROAD                     ,13,0.0,0,0,0,0,13,0,Unspecified,Unspecified,102313,BUS,PASSENGER VEHICLE,2013
2016366,04/28/2023,23:40,QUEENS,11433.0,40.703293,-73.7961,"(40.703293, -73.7961)",ARCHER AVENUE,13,0.0,0,0,0,0,13,0,Driver Inattention/Distraction,Unspecified,4624780,Station Wagon/Sport Utility Vehicle,Bus,2023
1529175,06/21/2014,6:38,MANHATTAN,10039,40.8284993,-73.9377806,"(40.8284993, -73.9377806)",8 AVENUE                        ,13,0.0,0,0,0,0,13,0,Unspecified,Unspecified,355209,LIVERY VEHICLE,VAN,2014
885126,06/04/2017,13:45,MANHATTAN,10009.0,40.73136,-73.98257,"(40.73136, -73.98257)",1 AVENUE                        ,13,0.0,0,0,0,0,13,0,Following Too Closely,Unspecified,3685540,Taxi,Bus,2017
1505502,07/07/2014,7:50,BRONX,10467,40.86549,-73.8644612,"(40.86549, -73.8644612)",ALLERTON AVENUE                 ,13,0.0,0,0,0,0,13,0,Unspecified,Unspecified,585939,PASSENGER VEHICLE,PASSENGER VEHICLE,2014
1573880,03/08/2014,16:08,BRONX,10466,40.8992486,-73.8460818,"(40.8992486, -73.8460818)",BAYCHESTER AVENUE               ,13,0.0,0,0,0,0,13,0,Unspecified,Unspecified,99873,OTHER,SPORT UTILITY / STATION WAGON,2014
2039836,06/23/2023,9:34,BRONX,10466.0,40.88698,-73.84745,"(40.88698, -73.84745)",LACONIA AVENUE,13,0.0,0,0,0,0,13,0,Following Too Closely,Unspecified,4640365,Bus,Bus,2023
1785292,04/04/2013,9:50,BROOKLYN,11225,40.662175,-73.9537014,"(40.662175, -73.9537014)",ROGERS AVENUE                   ,13,0.0,0,0,0,0,13,0,Unspecified,Unspecified,153835,PASSENGER VEHICLE,PASSENGER VEHICLE,2013
